year,region,elec_tot,elec_res,elec_serv,elec_ind,gdp,pop
2002,GB,28289.834,2169.113,5464.474,20656.247,60328507.000,2736510.000
2002,GJ,5090.958,1217.553,2232.551,1640.854,22420270.000,1421613.000
2002,DG,11219.611,2232.608,3915.165,5071.838,35743105.000,2530953.000
2002,DJ,6210.507,1276.769,2997.173,1936.565,25497366.000,1433562.000
2002,PU,14270.036,2983.041,6242.906,5044.089,57866997.000,3684942.000
2002,SE,34882.646,10096.045,21879.249,2907.352,261328220.000,10049183.000
2002,SJ,,,,,,
2002,UL,18825.229,846.371,1788.851,16190.007,55068266.000,1056936.000
2002,IC,16099.983,2331.666,3921.524,9846.793,50972798.000,2571760.000
2002,JN,16076.906,1577.964,3371.223,11127.719,52071978.000,1962797.000
2002,JB,12019.475,1598.217,3485.146,6936.112,32419090.000,1895902.000
2002,JJ,2174.770,401.268,1060.076,713.426,9693184.000,533737.000
2002,CN,15447.795,1549.221,4126.682,9771.892,50205811.000,1876693.000
2002,CB,12685.134,1236.261,2983.131,8465.742,29656804.000,1495860.000
2003,GW,11899.000,1368.000,4790.000,5741.000,28861908.000,1501318.000
2003,GG,57940.000,9748.000,20689.000,27503.000,196745165.000,10149261.000
2003,GN,21303.000,2696.000,5736.000,12871.000,68827444.000,3094681.000
2003,GB,29582.000,2260.000,5778.000,21544.000,65372870.000,2704590.000
2003,GJ,5337.000,1291.000,2358.000,1688.000,22585186.000,1431964.000
2003,DG,11471.000,2335.000,4158.000,4978.000,36396595.000,2531930.000
2003,DJ,6503.000,1286.000,3275.000,1942.000,26757005.000,1453216.000
2003,PU,14764.000,3133.000,6553.000,5078.000,59924431.000,3648852.000
2003,SE,36163.000,10483.000,22904.000,2776.000,266033918.000,10041419.000
2003,SJ,,,,,,
2003,UL,19629.000,903.000,1935.000,16791.000,54100049.000,1062369.000
2003,IC,16920.000,2397.000,4315.000,10208.000,52157498.000,2573467.000
2003,JN,16671.000,1647.000,3536.000,11488.000,52730314.000,1928685.000
2003,JB,12412.000,1659.000,3665.000,7088.000,32768805.000,1870827.000
2003,JJ,2365.000,430.000,1174.000,761.000,9960579.000,536599.000
2003,CN,17584.000,1641.000,4546.000,11397.000,55468963.000,1871998.000
2003,CB,13052.000,1295.000,3225.000,8532.000,30693993.000,1491154.000
2004,GW,12051.000,1469.000,4978.000,5604.000,29386767.000,1496907.000
2004,GG,62759.000,10764.000,22649.000,29346.000,208742156.000,10415516.000
2004,GN,22553.000,2949.000,6179.000,13425.000,71667409.000,3101595.000
2004,GB,31446.000,2416.000,6195.000,22835.000,69948144.000,2669505.000
2004,GJ,5762.000,1371.000,2534.000,1857.000,23198230.000,1444682.000
2004,DG,11904.000,2500.000,4440.000,4964.000,38364894.000,2533260.000
2004,DJ,6897.000,1430.000,3440.000,2027.000,27540951.000,1460948.000
2004,PU,15479.000,3669.000,6584.000,5226.000,61227100.000,3623903.000
2004,SE,38213.000,11222.000,24334.000,2657.000,269197325.000,10051611.000
2004,SJ,,,,,,
2004,UL,20576.000,1062.000,2005.000,17509.000,59706880.000,1067380.000
2004,IC,17649.000,2587.000,4549.000,10513.000,54987798.000,2571244.000
2004,JN,17830.000,1753.000,3808.000,12269.000,55586311.000,1881050.000
2004,JB,13128.000,1761.000,3837.000,7530.000,33844818.000,1843031.000
2004,JJ,2562.000,473.000,1259.000,830.000,10579746.000,539405.000
2004,CN,19420.000,1789.000,4840.000,12791.000,60583607.000,1891842.000
2004,CB,13865.000,1399.000,3509.000,8957.000,33573276.000,1490640.000
2005,GW,12379.005,1532.894,5459.654,5386.457,29695748.000,1488881.000
2005,GG,68750.378,11423.914,25111.423,32215.041,222816035.000,10625127.000
2005,GN,24093.883,3092.788,6849.578,14151.517,76018607.000,3110041.000
2005,GB,33161.128,2522.787,6676.433,23961.908,74596282.000,2651702.000
2005,GJ,6205.053,1437.955,2719.216,2047.882,24953345.000,1445390.000
2005,DG,12363.357,2578.233,4824.203,4960.921,39039831.000,2509168.000
2005,DJ,7252.938,1504.564,3666.163,2082.211,28061744.000,1469868.000
2005,PU,16588.952,3853.325,7083.548,5652.079,63032743.000,3590291.000
2005,SE,40523.741,11600.996,26317.743,2605.002,280676032.000,10028631.000
2005,SJ,,,,,,
2005,UL,20851.718,1117.053,2156.722,17577.943,61626834.000,1071339.000
2005,IC,18165.059,2691.433,4926.544,10547.082,56922112.000,2581406.000
2005,JN,18803.153,1816.841,4049.954,12936.358,56104942.000,1851257.000
2005,JB,13592.737,1829.130,4148.305,7615.302,34414457.000,1816604.000
2005,JJ,2768.073,503.049,1377.118,887.906,10530282.000,541833.000
2005,CN,22449.469,1903.607,5471.769,15074.093,66603884.000,1918287.000
2005,CB,14464.184,1464.468,3888.810,9110.906,33307920.000,1484736.000
2006,GW,12994.000,1573.000,5840.000,5581.000,31550828.000,1481855.000
2006,GG,73311.000,11933.000,26787.000,34591.000,242756988.000,10853412.000
2006,GN,25382.000,3221.000,7357.000,14804.000,80266127.000,3123201.000
2006,GB,34011.000,2596.000,7132.000,24283.000,77440727.000,2652689.000
2006,GJ,6441.000,1505.000,2816.000,2120.000,26193910.000,1448384.000
2006,DG,12622.000,2654.000,5048.000,4920.000,40255437.000,2490045.000
2006,DJ,7506.000,1550.000,3820.000,2136.000,29074607.000,1481261.000
