year,region,elec_tot,elec_res,elec_serv,elec_ind,gdp,pop
2011,충남,42650.000,2475.000,7382.000,32793.000,98515870,2108370
2011,충북,20453.000,1861.000,5598.000,12994.000,46066868,1545214
2012,강원,15904.000,1876.000,7216.000,6812.000,37021010,1504234
2012,경기,100291.000,15445.000,34952.000,49894.000,327820620,11974482
2012,경남,33015.000,4027.000,9351.000,19637.000,103911994,3265495
2012,경북,44800.000,3134.000,9653.000,32013.000,95229383,2655755
2012,광주,8129.000,1760.000,3532.000,2837.000,31650181,1503758
2012,대구,14956.000,3051.000,6040.000,5865.000,47367831,2480493
2012,대전,9160.000,1846.000,4770.000,2544.000,34977219,1540136
2012,부산,20665.000,4443.000,8617.000,7605.000,75742868,3461881
2012,서울,47233.000,13401.000,31740.000,2092.000,348568408,10036273
2012,세종,,,,,,102157
2012,울산,29361.000,1415.000,3812.000,24134.000,71957705,1124659
2012,인천,22652.000,3594.000,7220.000,11838.000,73129842,2793754
2012,전남,28485.000,2188.000,5964.000,20333.000,67142356,1782361
2012,전북,21463.000,2268.000,5623.000,13572.000,43728235,1817430
2012,제주,3865.000,634.000,1966.000,1265.000,14067649,560818
2012,충남,44493.000,2518.000,7654.000,34321.000,99219568,2042689
2012,충북,21361.000,1898.000,5659.000,13804.000,47647389,1553478
2013,강원,15794.740,1885.497,7174.933,6734.310,38211948,1505686
2013,경기,102227.068,15554.163,35246.455,51426.450,346430719,12126274
2013,경남,33530.619,4055.225,9462.611,20012.783,104475348,3277965
2013,경북,45444.246,3177.243,9532.500,32734.503,98842637,2660941
2013,광주,8274.075,1850.640,3539.867,2883.568,32859385,1503835
2013,대구,14270.053,3076.642,6029.008,5164.403,49036361,2475657
2013,대전,9225.141,1856.172,4752.094,2616.875,35375467,1545232
2013,부산,20364.705,4437.009,8541.484,7386.212,77000292,3455734
2013,서울,46555.104,13319.847,31140.693,2094.564,354319250,9990010
2013,세종,2345.527,157.398,635.155,1552.974,6883305,118463
2013,울산,29992.968,1445.229,4092.149,24455.590,72322408,1137472
2013,인천,22673.442,3643.784,7189.439,11840.219,75073082,2829608
2013,전남,30302.069,2206.805,5919.151,22176.113,68435908,1783896
2013,전북,21708.655,2282.596,5602.759,13823.300,45637671,1820969
2013,제주,4094.900,658.131,2049.261,1387.508,14763437,570034
2013,충남,45466.813,2448.583,7425.830,35592.400,97403497,2062301
2013,충북,21665.043,1915.496,5693.366,14056.181,49519653,1564816
2014,강원,15778.145,1868.276,7000.275,6909.594,40077987,1510198
2014,경기,102180.707,15291.673,34818.533,52070.501,362159526,12282013
2014,경남,33435.156,3983.189,9268.369,20183.598,104843574,3307369
2014,경북,46016.365,3118.273,9235.973,33662.119,105901155,2670922
2014,광주,8197.277,1841.416,3475.986,2879.875,34169569,1504582
2014,대구,14858.787,2973.764,5857.273,6027.750,50329551,2474900
2014,대전,9102.525,1826.425,4637.117,2638.983,36081650,1552692
2014,부산,19980.897,4309.603,8308.817,7362.477,80258570,3452309
2014,서울,45018.863,12892.129,30040.126,2086.608,359661759,9975163
2014,세종,2437.032,192.589,657.760,1586.683,8635120,132437
2014,울산,30115.123,1419.552,3812.092,24883.479,72408971,1151171
2014,인천,22578.049,3596.277,7060.371,11921.401,78694187,2862241
2014,전남,31722.944,2163.133,5823.349,23736.462,68405097,1791887
2014,전북,22297.412,2236.213,5443.006,14618.193,46567890,1829437
2014,제주,4220.089,647.664,2101.001,1471.424,15785920,583335
2014,충남,47294.962,2423.744,7251.134,37620.084,100199403,2087600
2014,충북,22179.261,1891.278,5495.104,14792.879,51596699,1578403
2015,강원,16206.619,1888.434,7167.806,7150.379,40867985,1516636
2015,경기,105048.003,15607.128,35926.057,53514.818,381978306,12423017
2015,경남,33876.326,4057.544,9465.814,20352.968,106590936,3330230
2015,경북,44956.836,3176.918,9324.696,32455.222,103120174,2677768
2015,광주,8333.873,1880.747,3555.976,2897.150,34845589,1505906
2015,대구,14947.708,3024.175,5950.706,5972.827,51822013,2468755
2015,대전,9182.737,1849.215,4728.122,2605.400,37162614,1542394
2015,부산,20002.309,4352.290,8385.914,7264.105,82701497,3452260
