date,code,site,area,totalpop,dometpop,lftpop,sftpop,dmax,dmin,dfpop,nfpop,dfmax,outside,inside,internal,dailydust,pmbaddummy,pmday,pmwarn,temp,tempspr,rainfall,humidity,daydummy,dailydust_1,dailydust_2,dailydust_3
2020-03-05,11680,강남구,동남권,875982.441 ,845029.137 ,21228.131 ,9725.173 ,1086224.304 ,693988.102 ,1044426.353 ,755665.361 ,633676.943 ,190233.798 ,122569.728 ,320873.416 ,26 ,0 ,0 ,0 ,1 ,2 ,0 ,48 ,0 ,33 ,33 ,28 
2020-03-06,11680,강남구,동남권,875020.995 ,843072.680 ,21265.386 ,10682.928 ,1082910.136 ,695924.391 ,1040437.129 ,756866.614 ,632542.612 ,188350.843 ,123771.771 ,320419.998 ,25 ,0 ,0 ,0 ,4 ,14 ,0 ,47 ,0 ,26 ,33 ,33 
2020-03-07,11680,강남구,동남권,747525.685 ,719355.876 ,18046.622 ,10123.188 ,824287.187 ,681702.510 ,800741.193 ,709514.608 ,363370.288 ,92989.150 ,111169.264 ,159211.874 ,38 ,1 ,3 ,0 ,7 ,49 ,0 ,40 ,1 ,25 ,26 ,33 
2020-03-08,11680,강남구,동남권,701417.225 ,675886.984 ,15829.607 ,9700.634 ,732822.031 ,669496.703 ,723699.868 ,685501.052 ,279542.012 ,61475.866 ,107201.613 ,110864.533 ,43 ,1 ,2 ,0 ,9 ,86 ,0 ,44 ,1 ,38 ,25 ,26 
2020-03-09,11680,강남구,동남권,877322.236 ,846622.882 ,21009.466 ,9689.887 ,1106674.350 ,674894.109 ,1061696.562 ,745626.288 ,659959.231 ,202405.863 ,123026.513 ,334526.855 ,43 ,1 ,1 ,0 ,11 ,123 ,0 ,38 ,0 ,43 ,38 ,25 
2020-03-10,11680,강남구,동남권,886947.418 ,855118.357 ,21219.540 ,10609.521 ,1113349.126 ,694340.530 ,1067793.613 ,757771.565 ,652570.821 ,200735.614 ,121396.332 ,330438.875 ,29 ,0 ,0 ,0 ,6 ,41 ,12 ,78 ,0 ,43 ,43 ,38 
2020-03-11,11680,강남구,동남권,889566.067 ,855369.215 ,21603.155 ,12593.697 ,1114812.734 ,696377.211 ,1067787.712 ,762264.891 ,660899.419 ,201976.572 ,123416.106 ,335506.740 ,15 ,0 ,0 ,0 ,4 ,14 ,0 ,42 ,0 ,29 ,43 ,43 
2020-03-12,11680,강남구,동남권,889232.625 ,854338.750 ,21336.078 ,13557.796 ,1109666.535 ,698697.172 ,1064721.687 ,763883.294 ,654863.045 ,200010.991 ,122300.610 ,332551.445 ,16 ,0 ,0 ,0 ,7 ,46 ,0 ,50 ,0 ,15 ,29 ,43 
2020-03-13,11680,강남구,동남권,885428.679 ,850132.283 ,21538.092 ,13758.303 ,1102973.246 ,700630.743 ,1057204.828 ,762731.429 ,646071.105 ,196176.347 ,123164.074 ,326730.684 ,14 ,0 ,0 ,0 ,5 ,24 ,1 ,41 ,0 ,16 ,15 ,29 
2020-03-14,11680,강남구,동남권,753809.036 ,723474.636 ,18443.771 ,11890.629 ,833677.975 ,683011.236 ,810511.896 ,713306.993 ,375604.051 ,100905.929 ,111878.489 ,162819.634 ,23 ,0 ,0 ,0 ,4 ,13 ,0 ,48 ,1 ,14 ,16 ,15 
2020-03-15,11680,강남구,동남권,707476.557 ,680370.444 ,15641.710 ,11464.403 ,744972.445 ,671123.210 ,732846.230 ,689355.363 ,283201.242 ,64186.308 ,106460.919 ,112554.016 ,19 ,0 ,0 ,0 ,4 ,16 ,0 ,48 ,1 ,23 ,14 ,16 
